match_id,date,venue,city,innings,team,team_total_score,overs_played
1317900,22-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,1,India,308,51.2
1317900,22-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,2,West Indies,305,52
1317901,24-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,1,West Indies,311,51.2
1317901,24-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,2,India,312,50.7
1317902,27-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,1,India,225,37.7
1317902,27-07-2022,"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,2,West Indies,137,26.2
1317911,17-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,New Zealand,190,45.5
1317911,17-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,2,West Indies,193,40.7
1317912,19-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,New Zealand,212,48.7
1317912,19-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,2,West Indies,161,36.8
1317913,21-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,1,West Indies,301,51.5
1317913,21-08-2022,"Kensington Oval, Bridgetown, Barbados",Bridgetown,2,New Zealand,307,48.2
1322031,11-07-2022,"Cambusdoon New Ground, Ayr",Ayr,1,Namibia,220,48.3
1322031,11-07-2022,"Cambusdoon New Ground, Ayr",Ayr,2,Nepal,180,48.2
1322032,13-07-2022,"Titwood, Glasgow",Glasgow,1,Scotland,144,43.7
1322032,13-07-2022,"Titwood, Glasgow",Glasgow,2,Nepal,146,26.2
1322033,14-07-2022,"Titwood, Glasgow",Glasgow,1,Namibia,215,50.5
1322033,14-07-2022,"Titwood, Glasgow",Glasgow,2,Scotland,219,49.3
1322034,16-07-2022,"Cambusdoon New Ground, Ayr",Ayr,1,Namibia,199,50.2
1322034,16-07-2022,"Cambusdoon New Ground, Ayr",Ayr,2,Nepal,136,38.7
1322035,17-07-2022,"Titwood, Glasgow",Glasgow,1,Nepal,128,37
1322035,17-07-2022,"Titwood, Glasgow",Glasgow,2,Scotland,130,19.5
1322036,10-08-2022,"Mannofield Park, Aberdeen",Aberdeen,1,Scotland,262,50
1322036,10-08-2022,"Mannofield Park, Aberdeen",Aberdeen,2,United Arab Emirates,198,43
1322037,11-08-2022,"Mannofield Park, Aberdeen",Aberdeen,1,United Arab Emirates,253,50.5
1322037,11-08-2022,"Mannofield Park, Aberdeen",Aberdeen,2,United States of America,256,50.7
1322038,13-08-2022,"Mannofield Park, Aberdeen",Aberdeen,1,United States of America,295,52
1322038,13-08-2022,"Mannofield Park, Aberdeen",Aberdeen,2,Scotland,301,48.7
1322039,14-08-2022,"Mannofield Park, Aberdeen",Aberdeen,1,Scotland,254,51.3
1322039,14-08-2022,"Mannofield Park, Aberdeen",Aberdeen,2,United Arab Emirates,168,42
1322041,17-08-2022,"Mannofield Park, Aberdeen",Aberdeen,1,Scotland,249,51
1322041,17-08-2022,"Mannofield Park, Aberdeen",Aberdeen,2,United States of America,250,50.8
1322278,25-11-2022,"Eden Park, Auckland",Auckland,1,India,306,51.3
1322278,25-11-2022,"Eden Park, Auckland",Auckland,2,New Zealand,309,48.8
1322279,27-11-2022,"Seddon Park, Hamilton",Hamilton,1,India,89,13
1322280,30-11-2022,"Hagley Oval, Christchurch",Christchurch,1,India,219,49
1322280,30-11-2022,"Hagley Oval, Christchurch",Christchurch,2,New Zealand,104,18.5
1322359,25-03-2023,"Eden Park, Auckland",Auckland,1,New Zealand,274,51.8
1322359,25-03-2023,"Eden Park, Auckland",Auckland,2,Sri Lanka,76,20.3
1322361,31-03-2023,"Seddon Park, Hamilton",Hamilton,1,Sri Lanka,157,42.8
1322361,31-03-2023,"Seddon Park, Hamilton",Hamilton,2,New Zealand,159,33.8
1323292,05-08-2022,Harare Sports Club,Harare,1,Bangladesh,303,51.5
1323292,05-08-2022,Harare Sports Club,Harare,2,Zimbabwe,307,49.8
1323293,07-08-2022,Harare Sports Club,Harare,1,Bangladesh,290,51.2
1323293,07-08-2022,Harare Sports Club,Harare,2,Zimbabwe,291,48.7
1323294,10-08-2022,Harare Sports Club,Harare,1,Bangladesh,256,52
1323294,10-08-2022,Harare Sports Club,Harare,2,Zimbabwe,151,34.5
1325549,18-08-2022,Harare Sports Club,Harare,1,Zimbabwe,189,41.3
1325549,18-08-2022,Harare Sports Club,Harare,2,India,192,33.2
1325550,20-08-2022,Harare Sports Club,Harare,1,Zimbabwe,161,39.7
1325550,20-08-2022,Harare Sports Club,Harare,2,India,167,28.2
1325551,22-08-2022,Harare Sports Club,Harare,1,India,289,51.5
1325551,22-08-2022,Harare Sports Club,Harare,2,Zimbabwe,276,51.5
1327509,06-10-2022,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,1,South Africa,249,42
1327509,06-10-2022,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2,India,240,42.3
1327510,09-10-2022,"JSCA International Stadium Complex, Ranchi",Ranchi,1,South Africa,278,50.5
1327510,09-10-2022,"JSCA International Stadium Complex, Ranchi",Ranchi,2,India,282,46.5
1327511,11-10-2022,"Arun Jaitley Stadium, Delhi",Delhi,1,South Africa,99,27.8
1327511,11-10-2022,"Arun Jaitley Stadium, Delhi",Delhi,2,India,105,19.5
1331365,11-09-2022,"Amini Park, Port Moresby",Port Moresby,1,United States of America,205,48
1331365,11-09-2022,"Amini Park, Port Moresby",Port Moresby,2,Papua New Guinea,205,50.8
1331366,13-09-2022,"Amini Park, Port Moresby",Port Moresby,1,Papua New Guinea,211,51
1331366,13-09-2022,"Amini Park, Port Moresby",Port Moresby,2,United States of America,185,47.7
1331367,15-09-2022,"Amini Park, Port Moresby",Port Moresby,1,Namibia,176,49.3
1331367,15-09-2022,"Amini Park, Port Moresby",Port Moresby,2,United States of America,97,32
1331368,17-09-2022,"Amini Park, Port Moresby",Port Moresby,1,Namibia,254,51.2
1331368,17-09-2022,"Amini Park, Port Moresby",Port Moresby,2,United States of America,186,50.2
1331369,20-09-2022,"Amini Park, Port Moresby",Port Moresby,1,Namibia,284,51.2
1331369,20-09-2022,"Amini Park, Port Moresby",Port Moresby,2,Papua New Guinea,117,43
1331370,21-09-2022,"Amini Park, Port Moresby",Port Moresby,1,Namibia,214,52
1331370,21-09-2022,"Amini Park, Port Moresby",Port Moresby,2,Papua New Guinea,153,44.5
1336052,08-09-2023,"Sophia Gardens, Cardiff",Cardiff,1,England,291,50.8
1336052,08-09-2023,"Sophia Gardens, Cardiff",Cardiff,2,New Zealand,297,47.3
1336053,10-09-2023,"The Rose Bowl, Southampton",Southampton,1,England,226,35.2
1336053,10-09-2023,"The Rose Bowl, Southampton",Southampton,2,New Zealand,147,27.5
1336054,13-09-2023,"Kennington Oval, London",London,1,England,368,50.2
1336054,13-09-2023,"Kennington Oval, London",London,2,New Zealand,187,40.2
1336055,15-09-2023,"Lord's, London",London,1,England,311,51.2
1336055,15-09-2023,"Lord's, London",London,2,New Zealand,211,39.8
1336129,23-09-2023,"Trent Bridge, Nottingham",Nottingham,1,England,334,51.7
1336129,23-09-2023,"Trent Bridge, Nottingham",Nottingham,2,Ireland,286,49.2
1336130,26-09-2023,"County Ground, Bristol",Bristol,1,England,280,31.3
1339595,27-01-2023,"Mangaung Oval, Bloemfontein",Bloemfontein,1,South Africa,298,51.3
1339595,27-01-2023,"Mangaung Oval, Bloemfontein",Bloemfontein,2,England,271,45.5
1339596,29-01-2023,"Mangaung Oval, Bloemfontein",Bloemfontein,1,England,342,52
1339596,29-01-2023,"Mangaung Oval, Bloemfontein",Bloemfontein,2,South Africa,347,49.5
1339597,01-02-2023,"Diamond Oval, Kimberley",Kimberley,1,England,346,52
1339597,01-02-2023,"Diamond Oval, Kimberley",Kimberley,2,South Africa,287,44.2
1339602,18-03-2023,"Buffalo Park, East London",East London,1,West Indies,335,52.2
1339602,18-03-2023,"Buffalo Park, East London",East London,2,South Africa,287,42.7
1339603,21-03-2023,"Senwes Park, Potchefstroom",Potchefstroom,1,West Indies,260,50.2
1339603,21-03-2023,"Senwes Park, Potchefstroom",Potchefstroom,2,South Africa,264,31.3
1339607,31-03-2023,"Willowmoore Park, Benoni",Benoni,1,Netherlands,189,47.2
1339607,31-03-2023,"Willowmoore Park, Benoni",Benoni,2,South Africa,190,31
1339608,02-04-2023,"The Wanderers Stadium, Johannesburg",Johannesburg,1,South Africa,370,52
1339608,02-04-2023,"The Wanderers Stadium, Johannesburg",Johannesburg,2,Netherlands,224,40.8
1339611,09-01-2023,"National Stadium, Karachi",Karachi,1,New Zealand,255,50.3
1339611,09-01-2023,"National Stadium, Karachi",Karachi,2,Pakistan,258,48.3
1339612,11-01-2023,"National Stadium, Karachi",Karachi,1,New Zealand,261,51.5
1339612,11-01-2023,"National Stadium, Karachi",Karachi,2,Pakistan,182,43.8
